"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 17:07:08 UTC 2025","Mon Feb 10 17:07:10 UTC 2025","2151","tests","test_checkout_page_two","TestCheckoutPageTwo","","","Click 'Cancel' button",""
"passed","Mon Feb 10 17:07:28 UTC 2025","Mon Feb 10 17:07:29 UTC 2025","1369","tests","test_product_page","TestProductPage","","","Check info for another item on product page",""
"passed","Mon Feb 10 17:07:00 UTC 2025","Mon Feb 10 17:07:02 UTC 2025","2215","tests","test_checkout_page_one","TestCheckoutPageOne","","","Continue with missing inputs",""
"passed","Mon Feb 10 17:06:57 UTC 2025","Mon Feb 10 17:07:00 UTC 2025","2107","tests","test_checkout_page_two","TestCheckoutPageTwo","","","Click 'Finish' button",""
"passed","Mon Feb 10 17:07:30 UTC 2025","Mon Feb 10 17:07:31 UTC 2025","1477","tests","test_product_page","TestProductPage","","","Remove item on product page from the cart",""
"passed","Mon Feb 10 17:07:13 UTC 2025","Mon Feb 10 17:07:14 UTC 2025","911","tests","test_log_in","TestLogin","","","Log in for different types of users",""
"passed","Mon Feb 10 17:07:10 UTC 2025","Mon Feb 10 17:07:12 UTC 2025","2200","tests","test_checkout_page_two","TestCheckoutPageTwo","","","Check order information on the page",""
"passed","Mon Feb 10 17:07:14 UTC 2025","Mon Feb 10 17:07:16 UTC 2025","1996","tests","test_checkout_page_one","TestCheckoutPageOne","","","Continue with missing inputs",""
"passed","Mon Feb 10 17:06:42 UTC 2025","Mon Feb 10 17:06:44 UTC 2025","1804","tests","test_log_in","TestLogin","","","Log in successfully",""
"passed","Mon Feb 10 17:07:35 UTC 2025","Mon Feb 10 17:07:37 UTC 2025","1619","tests","test_cart_page","TestCartPage","","","Check first item in the cart",""
"passed","Mon Feb 10 17:07:17 UTC 2025","Mon Feb 10 17:07:18 UTC 2025","869","tests","test_log_in","TestLogin","","","Log in with missing username or password",""
"passed","Mon Feb 10 17:06:52 UTC 2025","Mon Feb 10 17:06:55 UTC 2025","2484","tests","test_checkout_page_two","TestCheckoutPageTwo","","","Check first item on the page",""
"passed","Mon Feb 10 17:07:18 UTC 2025","Mon Feb 10 17:07:24 UTC 2025","6201","tests","test_log_in","TestLogin","","","Log in for different types of users",""
"passed","Mon Feb 10 17:07:37 UTC 2025","Mon Feb 10 17:07:39 UTC 2025","1487","tests","test_cart_page","TestCartPage","","","Remove second item from the cart",""
"passed","Mon Feb 10 17:07:32 UTC 2025","Mon Feb 10 17:07:33 UTC 2025","1048","tests","test_product_page","TestProductPage","","","Add item on product page to the cart",""
"passed","Mon Feb 10 17:06:46 UTC 2025","Mon Feb 10 17:06:49 UTC 2025","2622","tests","test_checkout_complete_page","TestCheckoutCompletePage","","","Check information on the page",""
"passed","Mon Feb 10 17:06:44 UTC 2025","Mon Feb 10 17:06:46 UTC 2025","1830","tests","test_cart_page","TestCartPage","","","Check num of items in the cart",""
"passed","Mon Feb 10 17:07:03 UTC 2025","Mon Feb 10 17:07:05 UTC 2025","2492","tests","test_checkout_complete_page","TestCheckoutCompletePage","","","Click 'Back Home' button",""
"passed","Mon Feb 10 17:07:34 UTC 2025","Mon Feb 10 17:07:35 UTC 2025","1056","tests","test_product_page","TestProductPage","","","Check info for the first item on product page",""
"passed","Mon Feb 10 17:07:06 UTC 2025","Mon Feb 10 17:07:07 UTC 2025","1594","tests","test_checkout_page_one","TestCheckoutPageOne","","","Click 'Cancel' button",""
"passed","Mon Feb 10 17:06:49 UTC 2025","Mon Feb 10 17:06:52 UTC 2025","2375","tests","test_checkout_page_one","TestCheckoutPageOne","","","Continue with missing inputs",""
"passed","Mon Feb 10 17:07:25 UTC 2025","Mon Feb 10 17:07:26 UTC 2025","876","tests","test_log_in","TestLogin","","","Log in with invalid credentials",""
"passed","Mon Feb 10 17:07:27 UTC 2025","Mon Feb 10 17:07:28 UTC 2025","1018","tests","test_log_in","TestLogin","","","Log in with missing username or password",""
"passed","Mon Feb 10 17:06:55 UTC 2025","Mon Feb 10 17:06:57 UTC 2025","1670","tests","test_cart_page","TestCartPage","","","Click 'Continue shopping' button",""
