"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 09 14:36:38 UTC 2025","Sun Feb 09 14:36:42 UTC 2025","3208","tests","test_checkout_page_two","TestCheckoutPageTwo","","","Check order information on the page",""
"passed","Sun Feb 09 14:36:44 UTC 2025","Sun Feb 09 14:36:46 UTC 2025","1842","tests","test_log_in","TestLogin","","","Log in for different types of users",""
"passed","Sun Feb 09 14:36:25 UTC 2025","Sun Feb 09 14:36:28 UTC 2025","3482","tests","test_checkout_page_one","TestCheckoutPageOne","","","Click 'Cancel' button",""
"passed","Sun Feb 09 14:36:32 UTC 2025","Sun Feb 09 14:36:35 UTC 2025","3447","tests","test_checkout_page_one","TestCheckoutPageOne","","","Continue with missing inputs",""
"passed","Sun Feb 09 14:36:18 UTC 2025","Sun Feb 09 14:36:22 UTC 2025","3618","tests","test_checkout_complete_page","TestCheckoutCompletePage","","","Check information on the page",""
"passed","Sun Feb 09 14:36:11 UTC 2025","Sun Feb 09 14:36:15 UTC 2025","3799","tests","test_checkout_page_two","TestCheckoutPageTwo","","","Check first item on the page",""
"passed","Sun Feb 09 14:36:00 UTC 2025","Sun Feb 09 14:36:02 UTC 2025","1696","tests","test_log_in","TestLogin","","","Log in successfully",""
"passed","Sun Feb 09 14:36:55 UTC 2025","Sun Feb 09 14:36:56 UTC 2025","1361","tests","test_log_in","TestLogin","","","Log in with missing username or password",""
"passed","Sun Feb 09 14:37:03 UTC 2025","Sun Feb 09 14:37:04 UTC 2025","862","tests","test_product_page","TestProductPage","","","Check info for another item on product page",""
"passed","Sun Feb 09 14:36:05 UTC 2025","Sun Feb 09 14:36:08 UTC 2025","3685","tests","test_checkout_page_one","TestCheckoutPageOne","","","Continue with missing inputs",""
"passed","Sun Feb 09 14:36:50 UTC 2025","Sun Feb 09 14:36:51 UTC 2025","1598","tests","test_log_in","TestLogin","","","Log in with invalid credentials",""
"passed","Sun Feb 09 14:36:59 UTC 2025","Sun Feb 09 14:37:02 UTC 2025","2379","tests","test_checkout_page_one","TestCheckoutPageOne","","","Continue with missing inputs",""
